x,y
0.481133576,0.479481142
0.481133576,0.479481142
0.481133576,0.479481142
0.493146562,0.451316068
0.493146562,0.451316068
0.493146562,0.451316068
0.493146562,0.451316068
0.493146562,0.451316068
0.592526068,0.493458994
0.592526068,0.493458994
0.592526068,0.493458994
0.513239596,0.484041144
0.513239596,0.484041144
0.513239596,0.484041144
0.385986239,0.406184789
0.385986239,0.406184789
0.385986239,0.406184789
0.385986239,0.406184789
0.385986239,0.406184789
0.660861091,0.60716602
0.660861091,0.60716602
0.660861091,0.60716602
0.660861091,0.60716602
0.660861091,0.60716602
0.469832635,0.587432169
0.469832635,0.587432169
0.469832635,0.587432169
0.469832635,0.587432169
0.469832635,0.587432169
0.459267556,0.427897694
0.459267556,0.427897694
0.459267556,0.427897694
0.511104711,0.487461094
0.511104711,0.487461094
0.511104711,0.487461094
0.668009405,0.700664599
0.668009405,0.700664599
0.668009405,0.700664599
0.774887111,0.52964169
0.774887111,0.52964169
0.774887111,0.52964169
0.774887111,0.52964169
0.774887111,0.52964169
0.409159822,0.349532009
0.409159822,0.349532009
0.409159822,0.349532009
0.572100633,0.503046702
0.572100633,0.503046702
0.572100633,0.503046702
0.637949235,0.419190575
0.637949235,0.419190575
0.637949235,0.419190575
0.637949235,0.419190575
0.637949235,0.419190575
0.691233354,0.550162983
0.691233354,0.550162983
0.691233354,0.550162983
0.691233354,0.550162983
0.691233354,0.550162983
0.602600249,0.607350665
0.602600249,0.607350665
0.602600249,0.607350665
0.602600249,0.607350665
0.602600249,0.607350665
0.534442809,0.721732339
0.534442809,0.721732339
0.534442809,0.721732339
0.388548346,0.479565036
0.388548346,0.479565036
0.388548346,0.479565036
0.526479192,0.634531952
0.526479192,0.634531952
0.526479192,0.634531952
0.526479192,0.634531952
0.526479192,0.634531952
0.511976608,0.472282402
0.511976608,0.472282402
0.511976608,0.472282402
0.511976608,0.472282402
0.511976608,0.472282402
0.460336377,0.59653053
0.460336377,0.59653053
0.460336377,0.59653053
0.843254914,0.650496378
0.843254914,0.650496378
0.843254914,0.650496378
0.843254914,0.650496378
0.843254914,0.650496378
0.502592754,0.601854612
0.502592754,0.601854612
0.502592754,0.601854612
0.52490368,0.553174309
0.52490368,0.553174309
0.52490368,0.553174309
0.57387481,0.440135322
0.420507259,0.49373043
0.420507259,0.49373043
0.420507259,0.49373043
0.407157333,0.479100821
0.407157333,0.479100821
0.407157333,0.479100821
0.407157333,0.479100821
0.407157333,0.479100821
0.484849154,0.468658936
0.483773631,0.467675396
0.485539388,0.471583969
0.486218296,0.473214892
0.486172473,0.475978415
0.484356767,0.474855483
0.483982618,0.467035248
0.484362934,0.468280503
0.484039475,0.472339381
0.487165014,0.467238807
0.485305196,0.472155743
0.484601757,0.469559603
0.48513023,0.473145578
0.488209142,0.467370387
0.483129104,0.467370865
0.607949446,0.436953611
0.60898405,0.439865705
0.607328477,0.434850221
0.604925318,0.438478485
0.60280114,0.433470777
0.602792062,0.433679175
0.604918869,0.435855695
0.604091918,0.436542979
0.600475386,0.438677893
0.605754868,0.43507146
0.605024259,0.433895209
0.605472037,0.437445642
0.604657899,0.435948462
0.604211188,0.438867565
0.605812459,0.437951833
0.605439359,0.438605113
0.606005332,0.438972104
0.602700995,0.434903204
0.605049638,0.440452615
0.602190384,0.434635592
0.60271816,0.435879374
0.609839092,0.436752216
0.607744641,0.435175117
0.603322985,0.438197293
0.609200023,0.433790203
0.354019084,0.35717624
0.357730327,0.371811426
0.399505492,0.363323903
0.357141148,0.364779441
0.388344034,0.365298112
0.402436875,0.364888238
0.363948912,0.391553452
